task_completion_rate,avg_task_time_hours,feedback_rating,attendance_rate,punctuality_score,problem_solving_rating,team_collaboration_score,training_completion_pct,deadline_adherence_ratio,performance_score,outcome_label
0.7911,1.55,2.81,0.7303,5.83,3.04,1.15,1.0,0.125,0.5656,Average
0.8649,6.59,2.05,0.8293,7.8,1.0,9.43,0.6676,0.9333,0.7025,Excel
0.5294,12.4,3.78,0.6265,7.17,3.04,5.49,0.8013,0.5833,0.5924,Average
0.7667,6.87,2.63,1.0,5.01,2.19,4.24,1.0,0.7647,0.6948,Excel
0.6015,6.09,3.33,0.6258,5.68,2.53,7.72,0.6419,0.4286,0.5427,Average
0.8502,11.89,3.37,0.7112,1.8,3.07,5.35,1.0,0.7647,0.689,Excel
0.6058,1.0,3.45,0.8191,7.44,4.84,6.98,0.7736,0.4286,0.7259,Excel
0.754,7.01,2.49,0.7652,5.52,1.79,3.65,0.9674,0.3333,0.6167,Average
0.5137,7.54,3.41,0.8724,8.18,3.38,6.85,0.9773,0.0,0.5724,Average
0.6646,7.19,4.79,0.9229,7.43,2.08,4.08,0.6555,0.0,0.6114,Average
0.5722,11.4,1.77,0.5657,7.08,2.22,4.44,0.3331,0.4375,0.4496,Struggle
0.9147,7.97,1.53,0.6985,6.16,2.12,4.63,0.7235,0.3571,0.5872,Average
0.764,11.97,3.31,0.9046,5.92,1.75,5.09,0.749,0.0,0.6117,Average
0.6666,6.78,3.97,0.9465,6.54,4.02,7.12,0.9159,0.0,0.6693,Average
0.791,9.44,3.76,0.9207,7.97,3.82,3.7,0.5786,0.0769,0.6962,Excel
0.3856,6.24,3.27,0.9656,6.05,2.62,7.17,0.8063,0.625,0.628,Average
0.3437,8.75,3.31,0.7071,2.82,2.93,9.08,0.7692,0.3333,0.4984,Struggle
0.6792,7.88,4.87,0.6916,7.89,3.65,6.61,0.9031,0.4118,0.7098,Excel
0.8634,8.85,3.2,0.6372,5.2,1.41,5.88,0.6834,0.9167,0.651,Average
0.7141,4.86,2.48,0.6355,5.55,3.41,7.65,0.7091,0.6364,0.6474,Average
0.5022,10.61,3.99,0.771,5.53,3.0,2.03,0.705,0.3636,0.556,Average
0.5422,9.58,3.93,0.9257,7.81,2.99,5.25,0.9868,1.0,0.6789,Average
0.6101,8.44,2.01,0.7908,8.32,4.44,7.5,0.9616,0.2857,0.6171,Average
0.6407,9.92,1.87,0.7981,8.83,4.58,5.63,0.6245,0.2727,0.5946,Average
0.5646,14.24,1.72,0.7719,8.46,1.24,8.33,1.0,0.8,0.5788,Average
0.9326,6.68,3.27,0.7344,9.12,4.42,6.22,1.0,0.0,0.7058,Excel
0.478,9.64,3.46,0.7842,5.39,3.04,5.99,1.0,0.125,0.5386,Average
0.7439,3.91,2.61,0.8668,6.29,4.56,6.85,1.0,0.5,0.6915,Excel
0.9089,9.46,2.74,0.8635,6.4,3.23,3.95,0.9833,0.3077,0.6251,Average
0.6059,5.57,3.34,0.6488,9.12,3.11,6.36,1.0,0.3077,0.6067,Average
0.9669,7.97,4.11,0.5488,5.43,3.47,7.39,0.7349,0.5333,0.685,Excel
0.7256,12.18,4.46,0.852,6.03,2.97,8.36,0.4,1.0,0.786,Excel
0.9094,8.41,5.0,0.7156,9.77,3.47,6.35,0.6381,0.3571,0.7405,Excel
0.6026,7.95,2.98,1.0,2.33,2.84,9.9,0.8528,0.375,0.6133,Average
0.6866,6.98,2.43,0.6777,8.25,2.24,5.48,0.942,0.4286,0.6052,Average
0.8049,7.3,2.63,0.6109,4.9,3.66,6.96,0.6214,0.7857,0.6736,Average
0.9271,9.09,3.89,0.8971,6.46,1.01,8.59,0.7472,1.0,0.7862,Excel
0.789,5.87,3.73,0.953,8.18,2.7,4.91,0.7123,0.5385,0.7463,Excel
0.7309,10.6,3.64,0.7884,6.44,4.62,9.45,0.5927,0.125,0.6733,Average
0.6432,10.2,4.91,0.7342,6.84,1.82,5.54,0.5201,0.0,0.572,Average
0.604,4.35,3.74,1.0,5.25,3.64,6.89,0.6471,0.8667,0.7277,Excel
0.9451,7.22,1.92,0.8548,5.69,2.68,9.37,0.5388,0.7778,0.713,Excel
0.8566,5.62,4.15,0.9527,6.31,2.41,6.54,0.8215,0.2857,0.7034,Excel
0.4986,8.26,1.16,0.8596,4.28,5.0,6.09,0.5167,0.6,0.5647,Average
0.9235,8.12,2.84,0.6954,8.13,3.22,4.82,0.7505,1.0,0.7732,Excel
0.3767,7.96,2.79,0.8797,6.92,2.79,5.86,0.6433,0.5882,0.5974,Average
0.5151,8.52,3.05,0.8081,9.38,3.03,6.66,0.7392,0.8182,0.6465,Average
0.8549,7.14,3.4,0.8191,7.9,3.2,5.95,0.5898,1.0,0.7433,Excel
0.6931,8.27,2.58,0.8219,6.79,3.57,3.67,0.7543,0.5,0.6153,Average
1.0,6.16,1.99,0.6205,7.57,3.0,4.4,0.4082,0.4545,0.6063,Average
0.7429,5.02,4.82,0.858,4.65,3.45,7.65,0.8938,0.8,0.7926,Excel
0.5115,6.29,3.6,0.8317,6.14,2.69,6.97,1.0,0.3,0.5834,Average
0.3722,10.42,2.48,0.9911,9.6,3.39,2.51,0.4541,0.0667,0.4486,Struggle
0.558,8.75,4.63,0.852,2.5,3.93,7.48,0.6253,0.4,0.5848,Average
0.7037,11.45,2.89,0.6791,7.3,3.1,6.93,0.6105,0.5833,0.6459,Average
0.7369,13.65,4.5,0.6741,7.48,1.7,4.42,0.7003,1.0,0.6891,Excel
0.5524,4.36,4.99,0.8212,6.92,2.77,5.04,0.8547,0.5882,0.7061,Excel
0.9492,1.65,3.4,0.7754,6.5,4.8,4.97,0.8493,0.25,0.744,Excel
0.6453,9.13,1.82,0.7815,5.72,3.97,4.85,0.9332,1.0,0.6558,Average
0.5485,9.42,4.47,1.0,4.63,2.44,7.76,0.9581,0.2143,0.6188,Average
0.5303,7.06,4.29,0.8701,7.73,2.93,6.99,0.7213,0.25,0.6284,Average
0.9393,7.68,2.5,0.8952,9.17,3.28,9.06,1.0,0.2857,0.7149,Excel
0.8721,16.13,4.53,0.7664,5.13,3.4,7.49,0.6052,0.75,0.7317,Excel
0.8545,10.26,3.73,0.8575,8.21,3.93,5.85,0.9172,0.4706,0.7742,Excel
0.6289,14.92,4.09,0.6497,5.22,2.43,4.69,0.9386,0.0588,0.538,Average
0.6653,8.33,2.24,0.9115,5.33,4.8,8.58,0.6382,0.3,0.6401,Average
0.4991,7.64,2.85,0.7432,7.41,3.08,6.22,0.825,0.1,0.533,Average
0.6448,6.82,3.92,0.6559,7.95,1.28,5.63,0.7217,0.4706,0.5737,Average
0.5465,11.94,1.95,0.8696,10.0,2.98,6.79,1.0,0.1429,0.589,Average
0.938,15.59,3.01,0.9237,4.55,3.85,4.54,0.7862,0.3125,0.6195,Average
0.8055,7.48,2.71,0.8402,5.55,4.39,8.63,0.6687,1.0,0.7625,Excel
0.5511,4.25,1.96,0.7915,5.23,3.5,10.0,0.8012,0.5333,0.6391,Average
0.8876,5.54,4.09,0.6148,9.7,3.16,5.97,0.6569,0.4,0.7277,Excel
0.5728,6.29,3.56,0.8727,6.72,1.99,6.34,0.623,0.7778,0.6283,Average
0.7637,8.87,3.48,0.9241,8.01,2.48,4.07,0.8853,0.7,0.6674,Average
0.3354,7.32,3.32,0.5997,4.94,3.39,2.48,0.7247,0.6429,0.5253,Average
1.0,8.41,2.13,0.6191,5.19,2.4,2.4,1.0,0.8333,0.6657,Average
0.8205,11.7,3.71,0.8592,5.69,4.36,7.83,0.9648,0.0,0.6972,Excel
0.4645,11.22,3.49,0.7901,6.32,1.93,4.06,0.331,0.5556,0.535,Average
0.7903,7.83,3.68,0.8655,8.46,5.0,5.48,0.742,0.625,0.7607,Excel
0.7574,6.58,1.54,0.7729,6.33,4.14,10.0,0.3678,0.1667,0.6379,Average
1.0,9.24,1.66,0.7892,8.29,2.26,9.77,0.6134,0.2308,0.6441,Average
0.4255,1.0,3.3,0.6608,8.19,1.61,5.92,0.5975,0.6667,0.6181,Average
0.3269,5.97,5.0,0.7511,6.94,3.43,3.54,0.5115,0.1,0.5593,Average
0.6295,5.41,4.43,0.6937,5.64,3.39,8.62,0.7592,0.1538,0.6452,Average
1.0,8.73,3.96,0.8579,6.98,3.2,6.87,0.5277,0.0,0.7406,Excel
0.6123,6.26,3.21,0.6821,6.32,3.22,7.89,0.8627,0.4444,0.6018,Average
0.6835,3.83,3.62,0.6892,5.03,4.72,6.78,0.9326,0.2,0.64,Average
0.5017,9.48,3.73,0.9042,7.68,4.24,4.97,1.0,0.1111,0.6069,Average
0.5468,9.36,4.17,0.6533,6.7,2.42,5.45,0.9574,0.625,0.6122,Average
0.639,15.08,2.98,1.0,5.75,2.98,8.72,0.5211,0.8125,0.6726,Average
0.8565,6.27,4.21,0.9518,5.17,1.91,7.97,0.6398,0.1667,0.696,Excel
0.7751,8.22,4.02,1.0,4.86,4.52,7.43,0.5893,0.2222,0.7138,Excel
0.4446,10.74,4.02,0.6128,5.54,2.81,4.26,0.6799,0.6667,0.5481,Average
0.9643,7.52,2.07,0.6789,8.18,3.11,6.5,0.6962,0.4545,0.683,Excel
0.6157,6.04,3.42,0.9579,7.21,2.9,4.22,0.7987,0.4667,0.629,Average
0.5839,4.43,3.62,0.8518,5.02,2.72,5.48,0.8937,0.9333,0.7249,Excel
0.6712,5.47,2.92,0.6724,7.68,1.83,3.67,0.8015,0.4545,0.5675,Average
0.4556,13.04,3.06,0.6692,5.94,2.87,4.15,0.9089,0.0833,0.4665,Struggle
0.9127,6.64,2.69,0.8091,6.77,1.95,6.25,0.676,0.9286,0.6814,Excel
0.8045,12.62,2.63,1.0,4.78,3.14,5.61,0.7466,1.0,0.7228,Excel
0.8858,13.76,2.76,0.8934,5.97,4.74,7.92,0.4961,0.2222,0.672,Average
1.0,14.1,2.87,0.7926,9.04,4.98,8.08,0.4765,0.0,0.7379,Excel
0.4869,5.4,4.08,0.6101,7.58,4.18,4.85,0.7597,0.6471,0.6516,Average
0.5057,12.87,3.56,0.8274,6.94,3.61,8.69,1.0,1.0,0.7251,Excel
0.3411,8.15,4.89,1.0,6.59,3.75,7.93,0.5032,0.0,0.5682,Average
0.6618,9.82,2.83,0.7798,8.11,3.84,5.57,0.646,0.5333,0.6606,Average
0.7588,11.5,2.59,1.0,7.81,2.96,5.55,1.0,0.0,0.6112,Average
0.5056,8.7,3.08,0.8174,5.57,3.27,6.59,0.5248,0.2222,0.5365,Average
0.3986,11.33,3.01,0.5013,8.99,2.83,4.53,0.8494,0.0,0.4708,Struggle
0.5579,7.57,4.73,0.6939,8.21,3.25,7.85,0.6648,0.625,0.6884,Excel
0.8644,6.86,2.74,0.7195,9.7,1.44,5.03,0.4595,0.125,0.6055,Average
0.6806,5.07,3.36,0.8239,4.94,3.15,4.81,0.8494,0.4,0.6235,Average
0.7618,4.63,1.93,0.8276,7.36,3.22,7.14,0.6506,0.0,0.6114,Average
0.6804,11.19,5.0,0.7924,4.49,3.99,6.32,0.986,0.1667,0.6684,Average
0.7821,8.27,4.11,0.5956,10.0,2.37,7.35,1.0,0.4375,0.6787,Average
0.6903,10.17,2.73,0.748,4.86,2.66,4.53,1.0,0.1538,0.5226,Average
0.5856,9.09,5.0,0.5731,4.12,4.5,5.51,0.9982,0.6364,0.6399,Average
0.8373,9.49,4.18,0.8161,6.38,5.0,4.89,0.8375,0.8333,0.7921,Excel
0.8797,1.97,2.93,0.8054,2.15,2.7,4.79,0.7446,0.0,0.5454,Average
0.5706,7.74,4.52,0.8823,7.19,2.8,6.76,0.9916,0.8889,0.7177,Excel
0.8168,6.41,2.6,0.7585,6.04,3.34,3.3,0.8603,0.0,0.5622,Average
0.4926,8.19,2.36,0.5859,8.61,2.99,2.8,0.6167,0.6667,0.5278,Average
0.8677,10.97,3.35,0.795,10.0,2.69,3.54,0.7571,0.0,0.6197,Average
1.0,7.98,3.53,0.7107,6.47,2.53,7.23,0.9711,0.4,0.7332,Excel
0.5225,12.3,4.16,0.6135,5.41,1.72,5.41,0.8547,0.1429,0.5425,Average
0.6341,5.79,5.0,0.7315,3.43,4.12,10.0,0.6058,0.3,0.6842,Excel
0.8906,10.71,3.29,0.6416,7.51,3.07,7.68,0.8645,0.0,0.6394,Average
0.9949,12.33,3.38,0.7998,9.31,2.9,6.2,0.9478,0.2,0.6828,Excel
0.6589,8.46,3.35,0.8876,5.13,2.89,9.24,0.5695,0.3846,0.6396,Average
0.3765,2.41,2.99,0.8545,4.73,3.06,7.99,0.8997,0.1875,0.5544,Average
0.7808,11.12,3.18,1.0,10.0,3.83,6.66,0.8806,0.5,0.7693,Excel
0.3942,8.69,3.18,0.7778,5.9,2.22,9.33,0.967,0.1,0.5245,Average
0.6478,11.43,3.37,0.7482,4.85,4.71,6.53,0.6206,0.8571,0.648,Average
0.7825,4.77,2.53,0.8577,6.56,2.15,4.91,1.0,0.8571,0.7159,Excel
0.4284,7.63,2.48,0.8093,8.31,5.0,7.31,0.6609,1.0,0.6496,Average
0.4983,4.88,4.36,0.8631,6.81,3.67,5.04,0.5762,0.5714,0.6621,Average
0.5893,10.47,3.6,0.9242,5.44,5.0,6.81,0.7952,0.7333,0.7467,Excel
0.6251,12.34,2.79,0.7582,4.62,3.63,6.91,0.875,0.5556,0.5916,Average
0.5124,3.98,3.64,0.6137,4.3,1.69,9.21,0.9036,0.2,0.5691,Average
0.6052,3.37,1.81,0.9246,7.33,4.23,8.91,1.0,0.9,0.7338,Excel
0.5028,8.76,2.82,0.834,5.34,4.2,6.76,0.6848,1.0,0.6495,Average
0.7476,9.2,3.1,0.8837,8.66,3.71,7.4,1.0,0.9091,0.7699,Excel
0.4407,10.52,2.15,0.8255,5.64,3.08,6.59,1.0,0.7143,0.5854,Average
0.6519,9.82,2.74,0.6987,7.63,2.79,6.27,0.908,0.6,0.6381,Average
0.6014,3.71,3.44,0.5889,2.65,2.91,5.52,0.434,0.1111,0.5112,Average
0.4614,10.95,2.96,0.5501,7.34,3.97,8.86,0.5739,0.5,0.5862,Average
0.7145,5.8,3.84,0.9096,7.83,3.31,6.7,0.7128,0.1765,0.6796,Average
0.9406,13.99,3.41,0.7411,8.98,2.91,9.36,0.8372,0.7273,0.7671,Excel
0.5108,9.59,4.04,0.7035,9.21,4.6,4.86,0.7294,0.8571,0.708,Excel
0.665,11.98,2.24,1.0,6.64,2.61,5.78,0.6809,0.2222,0.5885,Average
